Jogador,Eliminações,Mortes,Assistências,Dano Total,Plantações,Desarmamentos,Vitórias,Total de Partidas,Dano Médio
dimatefps,205,272,101,43326,79,5,15,39,1110.9231
I__LOTUS__I,118,143,43,27944,17,3,9,19,1470.7368
Jeff_-SZ,172,109,58,27167,7,13,15,22,1234.8636
Difurent,111,81,41,21035,13,9,9,16,1314.6875
maYumeSenpai,107,47,33,20502,3,6,9,11,1863.8182
Zit4l0_AKaA_,95,72,39,18875,0,3,6,10,1887.5000
Rovenita,38,53,19,10387,15,2,4,7,1483.8571
Difurent Feliz,62,23,19,10326,1,1,2,4,2581.5000
Marcosfox375,46,54,31,9837,6,3,2,7,1405.2857
Zi1379,44,116,23,9561,9,3,8,16,597.5625
escanor bravo,54,26,11,8815,0,1,2,3,2938.3333
New ToddynhoRx12,50,44,23,8531,11,1,5,8,1066.3750
STORM-APPROACHIN,45,28,14,8355,0,1,2,3,2785.0000
Froppado,33,51,16,6114,4,2,2,6,1019.0000
Shadow_JH37,29,24,17,5180,1,1,1,3,1726.6667
RevengerFox68,25,29,5,5019,4,4,1,4,1254.7500
twitch JOYSTIIIK,25,22,19,4967,0,1,2,3,1655.6667
SOUZAJRO11,27,23,23,4891,0,1,2,3,1630.3333
luizrated,32,27,13,4831,0,2,2,3,1610.3333
Nicollas_M2808,23,41,23,4602,2,3,4,8,575.2500
zCesar_Jrz,25,25,14,4498,0,0,2,3,1499.3333
zaupgn,16,24,13,4385,4,2,3,4,1096.2500
Faze_TR3M1D1NH4,21,26,15,4000,6,0,1,3,1333.3333
Carloncho 2,21,19,10,3493,2,0,2,3,1164.3333
Rip_Hiroshy4,14,31,5,3081,0,0,1,5,616.2000
Rafaelln96,9,2,4,2578,1,1,1,1,2578.0000
NerO_X,14,25,13,2481,8,0,2,3,827.0000
SaneAtol16282,13,65,20,2369,1,1,1,11,215.3636
Zi1369,15,26,6,2356,0,0,2,4,589.0000
nuviuss,12,8,6,2279,1,1,1,1,2279.0000
Cusssing,9,15,9,1943,0,0,1,2,971.5000
ZAllOOS,14,10,6,1909,2,0,1,1,1909.0000
DentedoSiso,13,4,1,1742,0,0,1,1,1742.0000
JoãoOrtega,10,2,4,1684,1,1,1,1,1684.0000
Thormenttus,7,12,7,1600,0,0,2,5,320.0000
Eo_angelo,8,5,3,1171,1,0,1,1,1171.0000
elpina1546,4,10,6,949,0,0,1,1,949.0000
LuamZoka,8,7,1,947,0,0,0,1,947.0000
Reboco D Cimento,7,8,1,939,1,0,0,1,939.0000
DEIVAOgamer,4,5,6,933,0,0,1,1,933.0000
Soledy_Andre-_-T,4,9,3,928,0,0,0,1,928.0000
zc_Xardas,2,9,1,770,0,0,0,1,770.0000
MaxDetonade,3,8,2,753,0,0,0,1,753.0000
Pastorplay5765,3,7,4,722,0,0,1,1,722.0000
Romulando_,2,6,5,623,0,0,1,1,623.0000
Black_noiir_,3,7,0,556,0,0,0,1,556.0000
BodePoeta,2,7,1,409,0,0,0,1,409.0000
Jairochaos,0,8,3,392,1,0,0,1,392.0000
Taelgamer007,0,8,2,260,0,0,0,1,260.0000
jmpalaciosv,0,8,1,100,0,0,0,1,100.0000
los_vagos836,0,0,0,0,0,0,0,1,0.0000
